Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
7405,1.394826781,103.8780033,377.3937555,107.872839,430D FERNVALE LINK,794430,FERNVALE LRT STATION,BLK 432A,21.12593032,33.03358468,4.432551854,82.78157225,45.65690803
7406,1.39483596,103.9006973,44.41235649,78.50302991,297A COMPASSVALE ST,541297,COMPASSVALE LRT STATION,COMPASSVALE STN EXIT B,35.46858201,39.81716474,3.116386691,123.1452434,42.39835675
7407,1.394837781,103.9075847,276.1159377,239.9829414,120B EDGEDALE PLAINS,822120,MERIDIAN LRT STATION,BEF PUNGGOL RD,35.90195928,39.8248276,2.041465534,77.88501914,38.79950676
7408,1.394838731,103.7503524,444.102283,168.9633733,770 CHOA CHU KANG ST 54,680770,YEW TEE MRT STATION,Yew Mei Green Condo,24.89631554,28.54649859,0.683703973,7.116008854,29.92101184
7409,1.394855245,103.7480441,306.3262363,184.4713719,785 CHOA CHU KANG DR,680785,YEW TEE MRT STATION,KRANJI PRI SCH,24.09776163,33.61365681,0.595841888,7.109074228,29.62552413
7410,1.394906029,103.7453097,373.7826288,80.26306618,565 CHOA CHU KANG ST 52,680565,YEW TEE MRT STATION,BLK 563,21.70484493,34.02592942,0.513290702,6.720317876,25.84304989
7411,1.394914173,103.8880001,289.7668266,68.90108884,326A ANCHORVALE RD,541326,FARMWAY LRT STATION,BLK 326 CP,31.42799949,44.52366216,6.698839571,135.035206,43.66925202
7412,1.394949473,103.877567,339.8357532,57.58123126,433A SENGKANG WEST WAY,791433,THANGGAM LRT STATION,BLK 432A,20.18134186,31.46816293,4.366117485,79.77715976,45.8021523
7413,1.394952997,103.9040086,394.1940388,162.6686417,188D RIVERVALE DR,544188,COMPASSVALE LRT STATION,BEF PUNGGOL RD,34.59534008,39.7576052,2.227255081,92.44789907,39.10221939
7414,1.394956962,103.9096342,230.3087244,176.6990354,109B EDGEDALE PLAINS,822109,MERIDIAN LRT STATION,MERDIAN STN EXIT A,35.33605932,39.27020922,1.941297696,77.62827086,35.28924863
7415,1.394977318,103.9127175,119.7338131,85.32609994,171B EDGEDALE PLAINS,822171,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT B,30.26172515,50.63007692,1.778116702,122.2352503,28.4596525
7416,1.394998966,103.9147543,165.5648996,138.0087901,165A PUNGGOL CTRL,821165,RIVIERA LRT STATION,RIVIERA STN EXIT B,23.42424789,36.72911315,1.672641315,74.42338176,22.46201664
7417,1.395000712,103.910206,254.2763162,198.860679,110D PUNGGOL FIELD,824110,MERIDIAN LRT STATION,CORAL EDGE STN EXIT A,32.68700202,38.50540983,1.91331447,78.13852358,32.27031056
7418,1.395002196,103.891961,248.5472838,100.3633247,332C ANCHORVALE LINK,543332,CHENG LIM LRT STATION,BLK 333B,30.84486239,44.48910277,4.830213453,141.5803436,37.72775362
7419,1.39508286,103.9027744,262.0071491,54.70710764,190A RIVERVALE DR,541190,COMPASSVALE LRT STATION,BLK 190C,33.87907155,39.40063207,2.642356352,98.30846568,39.03773752
7420,1.395083408,103.7483491,292.1057232,169.1957195,786 CHOA CHU KANG DR,680786,YEW TEE MRT STATION,BLK 790,23.09176447,33.49506592,0.601467682,7.023316587,28.45613105
7421,1.395100053,103.8954705,227.4752158,137.6957634,262B COMPASSVALE ST,542262,CHENG LIM LRT STATION,OPP SENGKANG GENERAL HOSP,29.7722632,55.99615475,3.746488873,154.5952583,39.29666447
7422,1.395107948,103.8914562,290.9208482,99.83853315,332B ANCHORVALE LINK,542332,CHENG LIM LRT STATION,BLK 333B,30.77118945,44.38644608,5.152825715,136.6718897,37.24522749
7423,1.395128032,103.9144671,200.4288881,172.8316733,165B PUNGGOL CTRL,822165,RIVIERA LRT STATION,RIVIERA STN EXIT B,24.40075282,38.23983945,1.692815679,78.44102989,23.22962493
7424,1.395128547,103.9072584,273.3097933,200.7071495,115 EDGEFIELD PLAINS,820115,MERIDIAN LRT STATION,BEF PUNGGOL RD,33.84381804,39.97178316,2.075509753,77.24518575,36.82701561
7425,1.395132136,103.7458753,316.7159163,79.44844034,567 CHOA CHU KANG ST 52,680567,YEW TEE MRT STATION,BLK 563,21.58105733,35.49348921,0.525298448,6.642047311,26.71345915
7426,1.395166013,103.749224,332.0721558,114.6782906,792 CHOA CHU KANG NTH 6,680792,YEW TEE MRT STATION,BLK 790,23.07741239,31.23750228,0.630430082,6.996892729,28.37892164
7427,1.395167098,103.9017895,162.5001177,26.50153066,298A COMPASSVALE ST,541298,COMPASSVALE LRT STATION,BLK 298A,34.26248977,39.83284623,2.710481478,105.2820818,39.68872989
7428,1.39517272,103.9092816,196.881884,146.6324899,109C EDGEDALE PLAINS,823109,MERIDIAN LRT STATION,MERDIAN STN EXIT A,38.59865866,40.40983917,1.972361722,76.07013459,38.7387468
7429,1.395221627,103.9048086,436.960659,71.83618142,188C RIVERVALE DR,543188,RUMBIA LRT STATION,BEF PUNGGOL RD,33.91001298,39.81366871,2.203376345,88.48587321,37.79276499
7430,1.395225289,103.9160007,80.06332348,97.70909229,160B PUNGGOL CTRL,822160,RIVIERA LRT STATION,RIVIERA STN EXIT B,20.58115419,32.26295519,1.291580625,60.22793321,20.26098859
7431,1.395256313,103.8886134,226.267727,75.12338808,327A ANCHORVALE RD,541327,FARMWAY LRT STATION,BLK 326 CP,36.09379919,44.92268765,7.692483586,130.8193231,41.39675862
7432,1.395311773,103.8880147,251.5349795,94.50283931,326B ANCHORVALE RD,542326,FARMWAY LRT STATION,OPP BLK 326D,30.88517778,44.26098228,7.681152066,131.4610772,43.11293296
7433,1.395312099,103.9157082,101.2929921,106.0649768,160A PUNGGOL CTRL,821160,RIVIERA LRT STATION,RIVIERA STN EXIT B,21.53243431,33.11731087,1.306171779,62.58893181,20.77404373
7434,1.395321644,103.8911368,289.3491825,130.5994484,332A ANCHORVALE LINK,541332,FARMWAY LRT STATION,BLK 333B,31.13839773,44.53781434,5.468123583,135.076963,36.7417895
