postal_code,Description_clean
732780,Attributes BLK_NO 780B  ST_COD WOC05L  ENTITYID 1941  POSTAL_COD 732780  INC_CRC AE8D4E3305CD5EB8  FMEL_UPD_D 20230328181025 
736780,Attributes BLK_NO 780F  ST_COD WOC05L  ENTITYID 1966  POSTAL_COD 736780  INC_CRC B766F43FFD969CF4  FMEL_UPD_D 20230328181025 
823322,Attributes BLK_NO 322C  ST_COD SUW06A  ENTITYID 11053277  POSTAL_COD 823322  INC_CRC 17E18EA2A0263209  FMEL_UPD_D 20221220142836 
650236,Attributes BLK_NO 236  ST_COD BUA07K  ENTITYID 8455  POSTAL_COD 650236  INC_CRC 16219C0DB36B79E1  FMEL_UPD_D 20130426120333 
542121,Attributes BLK_NO 121B  ST_COD RID02A  ENTITYID 146  POSTAL_COD 542121  INC_CRC 272BB0E0D7B5A875  FMEL_UPD_D 20130426120214 
510409,Attributes BLK_NO 409  ST_COD PAD06N  ENTITYID 12129  POSTAL_COD 510409  INC_CRC 5F6B9B2432A9ACFC  FMEL_UPD_D 20151001185830 
200809,Attributes BLK_NO 809  ST_COD FRE00F  ENTITYID 7455  POSTAL_COD 200809  INC_CRC 6FB5435C2F5780F6  FMEL_UPD_D 20170601120549 
511704,Attributes BLK_NO 704A  ST_COD PAD11B  ENTITYID 10355  POSTAL_COD 511704  INC_CRC E3058C7DC391DC42  FMEL_UPD_D 20140120182932 
823637,Attributes BLK_NO 637C  ST_COD PUD06M  ENTITYID 7429  POSTAL_COD 823637  INC_CRC 2ECDA42A59F5C919  FMEL_UPD_D 20130426120320 
763701,Attributes BLK_NO 701C  ST_COD YIA05T  ENTITYID 1675  POSTAL_COD 763701  INC_CRC 4B65BF935856EC6D  FMEL_UPD_D 20130426120230 
735782,Attributes BLK_NO 782E  ST_COD WOC05L  ENTITYID 2083  POSTAL_COD 735782  INC_CRC 135AEAD91028C1FD  FMEL_UPD_D 20230328181025 
731782,Attributes BLK_NO 782A  ST_COD WOC05L  ENTITYID 2105  POSTAL_COD 731782  INC_CRC FEB70F64130A652B  FMEL_UPD_D 20230328181025 
652113,Attributes BLK_NO 113B  ST_COD BUA13S  ENTITYID 2320  POSTAL_COD 652113  INC_CRC ECA92C58FB0B6E57  FMEL_UPD_D 20230328181025 
310460,Attributes BLK_NO 460  ST_COD TOP08A  ENTITYID 2624  POSTAL_COD 310460  INC_CRC 1DDE60DCC3C0DB28  FMEL_UPD_D 20230328181025 
190468,Attributes BLK_NO 468  ST_COD NOB02Q  ENTITYID 3383  POSTAL_COD 190468  INC_CRC F91F1A1EDC9179D8  FMEL_UPD_D 20230328181025 
190010,Attributes BLK_NO 10  ST_COD NOB02Q  ENTITYID 3879  POSTAL_COD 190010  INC_CRC 08902BFB34629E77  FMEL_UPD_D 20230328181025 
